timestamp,cell_id,throughput_dl_mbps,throughput_ul_mbps,latency_ms,rsrp_dbm,sinr_db,connected_ues,prb_utilization_pct,handover_attempts,handover_success
2024-06-01T08:00:00Z,cell-001,302.7,59.7,7.3,-77,24.1,10,34.6,0,0
2024-06-01T08:00:00Z,cell-002,235.8,50.2,8.4,-88,20.4,16,33.6,0,0
2024-06-01T08:00:00Z,cell-003,174.5,40.8,12.0,-91,19.2,21,29.5,0,0
2024-06-01T08:00:00Z,cell-004,420.3,83.7,4.6,-73,30.5,2,35.2,0,0
2024-06-01T08:01:00Z,cell-001,345.3,65.8,7.5,-79,26.2,9,35.9,0,0
2024-06-01T08:01:00Z,cell-002,273.5,53.3,7.9,-83,23.9,14,38.8,0,0
2024-06-01T08:01:00Z,cell-003,218.7,39.4,11.7,-94,17.1,20,38.9,0,0
2024-06-01T08:01:00Z,cell-004,454.6,81.1,4.6,-72,32.7,8,38.2,0,0
2024-06-01T08:02:00Z,cell-001,297.8,70.8,7.6,-79,25.1,7,30.8,0,0
2024-06-01T08:02:00Z,cell-002,230.2,51.9,8.3,-84,20.6,16,32.5,2,2
2024-06-01T08:02:00Z,cell-003,198.5,34.3,9.8,-94,20.0,19,33.0,0,0
2024-06-01T08:02:00Z,cell-004,445.0,86.3,4.5,-70,30.5,6,38.0,0,0
2024-06-01T08:03:00Z,cell-001,302.1,66.2,6.0,-77,26.1,8,31.0,0,0
2024-06-01T08:03:00Z,cell-002,267.8,49.1,7.2,-84,23.9,16,36.0,1,1
2024-06-01T08:03:00Z,cell-003,199.9,40.5,11.4,-94,19.1,19,35.9,0,0
2024-06-01T08:03:00Z,cell-004,467.0,81.6,4.5,-72,32.9,6,40.3,0,0
2024-06-01T08:04:00Z,cell-001,340.4,58.3,6.7,-81,27.0,9,35.2,0,0
2024-06-01T08:04:00Z,cell-002,267.4,51.2,8.7,-82,23.7,14,40.1,1,1
2024-06-01T08:04:00Z,cell-003,184.9,36.5,11.6,-92,16.5,20,33.2,0,0
2024-06-01T08:04:00Z,cell-004,386.1,83.5,4.9,-74,29.3,4,32.1,0,0
2024-06-01T08:05:00Z,cell-001,317.9,68.4,7.4,-75,26.3,6,32.3,1,1
2024-06-01T08:05:00Z,cell-002,225.0,50.8,8.6,-86,23.5,11,30.7,0,0
2024-06-01T08:05:00Z,cell-003,195.6,37.3,10.5,-94,16.8,20,36.8,0,0
2024-06-01T08:05:00Z,cell-004,450.9,87.8,4.2,-69,29.4,2,38.8,1,1
2024-06-01T08:06:00Z,cell-001,312.4,57.2,6.6,-78,24.9,8,32.8,1,1
2024-06-01T08:06:00Z,cell-002,282.0,49.7,8.7,-85,23.8,12,37.3,0,0
2024-06-01T08:06:00Z,cell-003,189.1,33.9,11.2,-91,16.2,25,33.6,0,0
2024-06-01T08:06:00Z,cell-004,389.9,94.6,4.8,-69,29.3,6,29.8,0,0
2024-06-01T08:07:00Z,cell-001,321.7,70.7,6.2,-78,26.3,10,34.1,0,0
2024-06-01T08:07:00Z,cell-002,277.9,54.1,7.0,-84,21.8,15,41.6,4,4
2024-06-01T08:07:00Z,cell-003,218.6,41.5,12.6,-94,17.1,21,37.4,0,0
2024-06-01T08:07:00Z,cell-004,467.1,87.6,5.1,-72,32.9,6,36.4,1,0
2024-06-01T08:08:00Z,cell-001,289.8,64.8,6.3,-80,24.5,9,30.0,0,0
2024-06-01T08:08:00Z,cell-002,236.9,53.8,7.1,-83,22.0,16,32.4,0,0
2024-06-01T08:08:00Z,cell-003,186.7,40.2,11.5,-90,18.5,22,33.4,0,0
2024-06-01T08:08:00Z,cell-004,386.6,84.3,5.0,-70,29.6,5,28.9,0,0
2024-06-01T08:09:00Z,cell-001,350.6,59.5,6.3,-76,27.4,5,37.5,0,0
2024-06-01T08:09:00Z,cell-002,277.8,45.9,7.4,-82,23.0,17,40.4,2,2
2024-06-01T08:09:00Z,cell-003,218.5,40.8,12.5,-91,17.3,25,37.1,0,0
2024-06-01T08:09:00Z,cell-004,431.9,80.7,5.5,-72,29.2,4,33.6,1,1
2024-06-01T08:10:00Z,cell-001,306.8,69.6,7.8,-81,24.8,7,32.7,0,0
2024-06-01T08:10:00Z,cell-002,223.4,53.4,7.6,-83,21.3,15,33.8,0,0
2024-06-01T08:10:00Z,cell-003,189.1,39.0,11.3,-92,18.9,22,35.8,0,0
2024-06-01T08:10:00Z,cell-004,467.0,90.9,5.5,-71,31.1,7,38.6,0,0
2024-06-01T08:11:00Z,cell-001,305.7,69.3,7.2,-77,25.3,7,33.5,1,1
2024-06-01T08:11:00Z,cell-002,233.4,50.9,7.9,-84,22.2,16,34.8,1,1
2024-06-01T08:11:00Z,cell-003,187.9,37.4,11.6,-92,16.0,24,32.1,0,0
2024-06-01T08:11:00Z,cell-004,483.0,91.9,5.1,-71,32.2,4,39.0,1,1
2024-06-01T08:12:00Z,cell-001,333.3,59.8,6.2,-76,27.0,5,33.7,3,3
2024-06-01T08:12:00Z,cell-002,275.4,49.9,8.7,-83,21.8,14,38.2,0,0
2024-06-01T08:12:00Z,cell-003,210.8,34.4,11.0,-95,19.0,20,39.1,1,1
2024-06-01T08:12:00Z,cell-004,395.5,79.3,4.8,-71,32.7,6,34.7,0,0
2024-06-01T08:13:00Z,cell-001,336.8,64.1,7.5,-76,26.5,9,36.5,0,0
2024-06-01T08:13:00Z,cell-002,272.6,46.4,8.9,-85,23.0,14,38.6,0,0
2024-06-01T08:13:00Z,cell-003,189.4,38.4,10.1,-93,17.1,20,32.8,0,0
2024-06-01T08:13:00Z,cell-004,431.4,77.9,5.4,-72,30.3,5,37.1,0,0
